SETTLEMENTDATE,TD,RRP,hour_sin,hour_cos,day_sin,day_cos,TD_LoTrend,TD_LoSeason,TD_Svmd_Imf1,TD_Svmd_Imf2,TD_Svmd_Imf_Error
2025-07-04 20:00:00,10581.5075,213.59333333333333,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,8752.858735585387,1828.6487644146127,9164.906760900656,-217.03902607136192,1633.6397651707048
2025-07-04 21:00:00,10146.350833333334,166.65416666666667,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,8740.16614586122,1406.184687472114,8885.510528693952,-312.20773445788234,1573.0480390972643
2025-07-04 22:00:00,9598.433333333332,169.92416666666665,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,8726.143209569473,872.2901237638598,8601.406340464657,-201.87843226480436,1198.90542513348
2025-07-04 23:00:00,9065.738333333333,135.62083333333334,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8710.645275944296,355.0930573890364,8385.363478187986,-65.44661063177263,745.8214657771186
2025-07-05 00:00:00,8631.558333333332,108.34916666666668,0.0,1.0,-0.9749279121818236,-0.2225209339563146,8693.323163919616,-61.764830586284006,8284.209456957216,-28.23085851646754,375.5797348925844
2025-07-05 01:00:00,8205.779166666667,80.7375,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,8673.235092228459,-467.45592556179145,8314.011212685995,-95.17334009372829,-13.058705925599497
2025-07-05 02:00:00,7688.439166666667,83.31666666666666,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,8648.981261661862,-960.5420949951949,8459.695038732636,-188.10211077909238,-583.153761286876
2025-07-05 03:00:00,7487.197499999999,85.65416666666665,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,8619.698476288753,-1132.500976288754,8677.515161368832,-210.21099954178118,-980.1066618270515
2025-07-05 04:00:00,7497.705000000001,84.78166666666667,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,8585.86920926758,-1088.1642092675784,8901.568421919643,-96.61724654330804,-1307.2461753763337
2025-07-05 05:00:00,7663.054166666666,81.65416666666667,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,8549.370489782872,-886.3163231162061,9056.252270036735,142.00799431010847,-1535.2060976801777
2025-07-05 06:00:00,8302.641666666666,102.305,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,8513.173672023253,-210.53200535658652,9074.098814334877,393.68479076234433,-1165.1419384305555
2025-07-05 07:00:00,9143.941666666668,114.7025,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,8480.877070389655,663.0645962770122,8916.264745035483,496.16397704435946,-268.48705541317577
2025-07-05 08:00:00,9288.249166666666,84.26916666666666,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,8455.790259061834,832.4589076048323,8590.19140992469,367.6494263030656,330.40833043891143
2025-07-05 09:00:00,8687.4625,81.005,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,8439.752281640765,247.7102183592342,8154.351825803885,85.01089068424675,448.09978351186874
2025-07-05 10:00:00,7519.0233333333335,88.86416666666668,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,8432.33534597791,-913.3120126445765,7703.960464238202,-194.41873419342753,9.4816032885592
2025-07-05 11:00:00,7153.712500000001,85.55,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,8430.882626761431,-1277.1701267614308,7342.549818651316,-375.06002052710966,186.22270187579397
2025-07-05 12:00:00,6826.05,59.056666666666665,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,8431.506368607163,-1605.4563686071624,7151.105734519302,-455.47749030563585,130.42175578633396
